,ind,a,t,T,H,mu
0,0,1e-20,4.7172130108881605e-06,8623417613842270.0,105994.78947546183,105238582644126.7
1,1,1.0471768194855203e-20,5.172798100239031e-06,8234920266931586.0,96659.48492690935,100497433371215.02
2,2,1.0965792912678099e-20,5.67238327463159e-06,7863925283389501.0,88146.37089777295,95969879681436.44
3,3,1.1483124145435111e-20,6.220218031094888e-06,7509644156612500.0,80383.03440498366,91646298787044.02
4,4,1.2024861420374123e-20,6.820962280069284e-06,7171323903351873.0,73303.44011152064,87517501420696.02
5,5,1.259215613694151e-20,7.479725982842842e-06,6848245463335558.0,66847.36862645918,83574712304741.5
6,6,1.3186214013947485e-20,8.202112617143223e-06,6539722170989339.0,60959.90427575339,79809551500387.16
7,7,1.3808297652180923e-20,8.994266840605678e-06,6245098296009184.0,55590.96798670582,76214016597118.36
8,8,1.4459729217920197e-20,9.86292675754494e-06,5963747649682898.0,50694.89131281545,72780465704504.81
9,9,1.514189325304352e-20,1.081548123361495e-05,5695072253998992.0,46230.02797563736,69501601210253.74
10,10,1.5856239617711372e-20,1.1860032745877776e-05,5438501070714104.0,42158.39961940968,66370454269986.95
11,11,1.6604286571875297e-20,1.300546630288767e-05,5193488787677757.0,38445.37276521815,63380369995770.9
12,12,1.7387624002162505e-20,1.4261525021027946e-05,4959514659834933.0,35059.364216854345,60524993311931.6
13,13,1.8207916800994623e-20,1.563889299995696e-05,4736081402443144.0,31971.572412534322,57798255448079.62
14,14,1.9066908405122518e-20,1.7149286202105917e-05,4522714134151660.0,29155.73243734194,55194361040646.445
15,15,1.9966424501097933e-20,1.8805552109254135e-05,4318959367696543.0,26587.89261252011,52707775815514.62
16,16,2.09083769055575e-20,2.0621779003865773e-05,4124384046066313.0,24246.210761267,50333214825563.03
17,17,2.1894767628566208e-20,2.261341580474053e-05,3938574622089734.0,22110.768418063726,48065631218127.8
18,18,2.292769312865649e-20,2.4797403476306666e-05,3761136179489498.5,20163.401401188567,45900205508504.89
