,ind,a,t,T,H,mu
0,0,1e-25,4.717213010888161e-16,8.62341761384227e+20,1059947894754618.1,10524017070223.135
1,1,1.0593147635183744e-25,5.29341005232984e-16,8.140562098087566e+20,944570692723738.9,9934740298784.281
2,2,1.1221477682079803e-25,5.93998827643157e-16,7.684743362822423e+20,841752503088059.1,9378459208656.195
3,3,1.188707697711908e-25,6.665544587579306e-16,7.254447523509029e+20,750126255147567.1,8853326255462.387
4,4,1.2592156136941508e-25,7.479725982842839e-16,6.84824546333556e+20,668473686264591.9,8357597345341.801
5,5,1.3339056900390642e-25,8.393357818454404e-16,6.464788086772259e+20,595709143843068.8,7889626042389.036
6,6,1.4130259905995336e-25,9.418587743749533e-16,6.102801838898545e+20,530865150491182.2,7447858100442.922
7,7,1.4968392930772617e-25,1.0569047216319663e-15,5.761084475617891e+20,473079540441403.44,7030826301056.988
8,8,1.5856239617711372e-25,1.186003274587778e-15,5.4385010707141054e+20,421583996194096.75,6637145580511.945
9,9,1.67967487209266e-25,1.330870927666042e-15,5.133980246485795e+20,375693832967599.3,6265508429682.913
10,10,1.7793043899185774e-25,1.4934338412533215e-15,4.8465106154416256e+20,334798895129086.8,5914680551484.919
11,11,1.8848434090338032e-25,1.6758534519286992e-15,4.5751374212368944e+20,298355443564926.3,5583496761472.555
12,12,1.9966424501097933e-25,1.8805552109254135e-15,4.318959367696544e+20,265878926125201.1,5270857117980.458
13,13,2.1150728248688036e-25,2.1102608329318587e-15,4.0771256253917286e+20,236937535018044.53,4975723268949.818
14,14,2.240527869300018e-25,2.3680244840111784e-15,3.848833005829285e+20,211146465493065.28,4697115003309.918
15,15,2.373424250023876e-25,2.65727338979502e-15,3.6333232938677194e+20,188162799477162.4,4434106995459.099
16,16,2.5142033481427965e-25,2.9818534038769113e-15,3.4298807295011586e+20,167680946135687.25,4185825732034.399
17,17,2.663332725174992e-25,3.346080142283873e-15,3.2378296306465715e+20,149428578736528.44,3951446610761.593
18,18,2.821307675939471e-25,3.754796363908857e-15,3.056532149039983e+20,133163013793771.97,3730191201751.4243
19,19,2.9886528735503947e-25,4.213436359835798e-15,2.8853861517875148e+20,118667984347931.52,3521324662144.8667
20,20,3.1659241119835207e-25,4.728098207676058e-15,2.723823221536258e+20,105750764480367.8,3324153295522.1733
21,21,3.3537101520029424e-25,5.305624851611884e-15,2.571306768622235e+20,94239606829362.75,3138022247968.519
22,22,3.5526346765781396e-25,5.9536950861850235e-15,2.4273302489262014e+20,83981459037128.36,2962313333145.6836
23,23,3.7633583622865483e-25,6.6809256535533966e-15,2.291415481517641e+20,74839928765569.17,2796442979145.0776
24,24,3.986581073580439e-25,7.496985811698326e-15,2.1631110605001153e+20,66693470223699.516,2639860290304.1675
25,25,4.22304418720669e-25,8.412725896884238e-15,2.0419908557826825e+20,59433768094736.27,2492045217548.203
26,26,4.473533054498463e-25,9.440321589734047e-15,1.92765259779869e+20,52964297375603.07,2352506831181.3247
